Size: 680; Len: 240; C: 0.2;     Score: 0.8
Size: 680; Len: 240; C: 0.6;     Score: 0.8
Size: 680; Len: 240; C: 1.0;     Score: 0.8
Size: 680; Len: 240; C: 1.4;     Score: 0.79
Size: 680; Len: 240; C: 1.8;     Score: 0.79
Size: 680; Len: 240; C: 2.2;     Score: 0.79
Size: 680; Len: 240; C: 2.6;     Score: 0.79
Size: 680; Len: 240; C: 3.0;     Score: 0.79
Size: 680; Len: 240; C: 3.4;     Score: 0.79
Size: 680; Len: 240; C: 3.8;     Score: 0.79
Size: 680; Len: 240; C: 4.2;     Score: 0.79
Size: 680; Len: 340; C: 0.2;     Score: 0.82
Size: 680; Len: 340; C: 0.6;     Score: 0.81
Size: 680; Len: 340; C: 1.0;     Score: 0.81
Size: 680; Len: 340; C: 1.4;     Score: 0.81
Size: 680; Len: 340; C: 1.8;     Score: 0.81
Size: 680; Len: 340; C: 2.2;     Score: 0.81
Size: 680; Len: 340; C: 2.6;     Score: 0.8
Size: 680; Len: 340; C: 3.0;     Score: 0.8
Size: 680; Len: 340; C: 3.4;     Score: 0.8
Size: 680; Len: 340; C: 3.8;     Score: 0.79
Size: 680; Len: 340; C: 4.2;     Score: 0.8
Size: 680; Len: 440; C: 0.2;     Score: 0.85
Size: 680; Len: 440; C: 0.6;     Score: 0.83
Size: 680; Len: 440; C: 1.0;     Score: 0.83
Size: 680; Len: 440; C: 1.4;     Score: 0.83
Size: 680; Len: 440; C: 1.8;     Score: 0.83
Size: 680; Len: 440; C: 2.2;     Score: 0.83
Size: 680; Len: 440; C: 2.6;     Score: 0.82
Size: 680; Len: 440; C: 3.0;     Score: 0.83
Size: 680; Len: 440; C: 3.4;     Score: 0.82
Size: 680; Len: 440; C: 3.8;     Score: 0.82
Size: 680; Len: 440; C: 4.2;     Score: 0.82
Size: 780; Len: 40; C: 0.2;     Score: 0.73
Size: 780; Len: 40; C: 0.6;     Score: 0.73
Size: 780; Len: 40; C: 1.0;     Score: 0.72
Size: 780; Len: 40; C: 1.4;     Score: 0.73
Size: 780; Len: 40; C: 1.8;     Score: 0.73
Size: 780; Len: 40; C: 2.2;     Score: 0.73
Size: 780; Len: 40; C: 2.6;     Score: 0.72
Size: 780; Len: 40; C: 3.0;     Score: 0.72
Size: 780; Len: 40; C: 3.4;     Score: 0.72
Size: 780; Len: 40; C: 3.8;     Score: 0.72
Size: 780; Len: 40; C: 4.2;     Score: 0.73
Size: 780; Len: 140; C: 0.2;     Score: 0.77
Size: 780; Len: 140; C: 0.6;     Score: 0.76
Size: 780; Len: 140; C: 1.0;     Score: 0.76
Size: 780; Len: 140; C: 1.4;     Score: 0.76
Size: 780; Len: 140; C: 1.8;     Score: 0.75
Size: 780; Len: 140; C: 2.2;     Score: 0.75
Size: 780; Len: 140; C: 2.6;     Score: 0.75
Size: 780; Len: 140; C: 3.0;     Score: 0.75
Size: 780; Len: 140; C: 3.4;     Score: 0.75
Size: 780; Len: 140; C: 3.8;     Score: 0.75
Size: 780; Len: 140; C: 4.2;     Score: 0.75
Size: 780; Len: 240; C: 0.2;     Score: 0.8
Size: 780; Len: 240; C: 0.6;     Score: 0.79
Size: 780; Len: 240; C: 1.0;     Score: 0.79
Size: 780; Len: 240; C: 1.4;     Score: 0.79
Size: 780; Len: 240; C: 1.8;     Score: 0.79
Size: 780; Len: 240; C: 2.2;     Score: 0.79
Size: 780; Len: 240; C: 2.6;     Score: 0.79
Size: 780; Len: 240; C: 3.0;     Score: 0.79
Size: 780; Len: 240; C: 3.4;     Score: 0.79
Size: 780; Len: 240; C: 3.8;     Score: 0.79
Size: 780; Len: 240; C: 4.2;     Score: 0.79
Size: 780; Len: 340; C: 0.2;     Score: 0.82
Size: 780; Len: 340; C: 0.6;     Score: 0.82
Size: 780; Len: 340; C: 1.0;     Score: 0.81
Size: 780; Len: 340; C: 1.4;     Score: 0.81
